,,Overall,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,SOG,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Born,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SOG,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Dave Andreychuk,TOT  ,1963,F,1639,640,698,1338,1121,32,,,,,356,274,10,77,7,402,293,3,103,4,758,567,13,180,11,42.4%,,,,,,,,,,0.39,0.426,0.816,4554,14.1%,5,30,2851,2294,55.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sidney Crosby,PIT,1987,F,1363,633,1069,1702,872,202,20:39,16:06,4:09,0:23,442,187,4,101,24,658,404,7,175,24,1100,591,11,276,48,34.7%,1.349,2.278,3.627,1.208,1.798,3.005,1.977,4.272,6.25,0.464,0.784,1.249,4321,14.6%,1192,668,15 777,14 071,52.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Joe Sakic,TOT  ,1969,F,1378,625,1016,1641,614,30,,,,,388,205,32,86,7,573,426,17,148,11,961,631,49,234,18,38.5%,,,,,,,,,,0.454,0.737,1.191,4621,13.5%,57,93,8297,7544,52.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jarome Iginla,TOT  ,1977,F,1554,625,675,1300,1040,30,,,,,415,197,13,101,7,435,231,9,105,9,850,428,22,206,16,32.9%,,,,,,,,,,0.402,0.434,0.837,4759,13.1%,1169,335,2879,2683,51.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bobby Hull,TOT  ,1939,F,1063,610,560,1170,634,249,,,,,437,154,19,98,0,380,170,10,74,0,817,324,29,172,0,27.7%,,,,,,,,,,0.574,0.527,1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Dino Ciccarelli,TOT  ,1960,F,1232,608,592,1200,1425,-4,,,,,375,232,1,73,1,400,190,2,66,1,775,422,3,139,2,35.2%,,,,,,,,,,0.494,0.481,0.974,3706,16.4%,,,0,2,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jari Kurri,TOT  ,1960,F,1251,601,797,1398,545,304,,,,,407,155,39,72,7,514,240,43,89,6,921,395,82,161,13,28.3%,,,,,,,,,,0.48,0.637,1.118,3149,19.1%,,,108,192,36.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Steven Stamkos,TOT  ,1990,F,1175,583,609,1192,687,5,19:03,14:54,3:41,0:27,349,229,5,91,14,391,215,3,93,17,740,444,8,184,31,37.2%,1.562,1.631,3.193,1.195,1.339,2.534,3.164,2.971,6.135,0.496,0.518,1.014,3531,16.5%,1243,536,6831,6718,50.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mark Recchi,TOT  ,1968,F,1652,577,956,1533,1033,0,,,,,359,200,18,91,6,573,369,14,129,10,932,569,32,220,16,37.1%,,,,,,,,,,0.349,0.579,0.928,3820,15.1%,528,174,1043,1145,47.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Mike Bossy,NYI,1957,F,752,573,553,1126,210,380,,,,,385,180,8,80,4,354,198,1,88,1,739,378,9,168,5,33.6%,,,,,,,,,,0.762,0.735,1.497,2709,21.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Patrick Marleau,TOT  ,1979,F,1779,566,631,1197,527,-27,17:48,13:49,3:07,0:50,377,172,17,109,11,384,243,4,108,10,761,415,21,217,21,34.7%,1.072,1.195,2.268,0.92,0.937,1.857,1.854,2.619,4.473,0.318,0.355,0.673,4333,13.1%,1157,406,6836,7584,47.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Joe Nieuwendyk,TOT  ,1966,F,1257,564,562,1126,677,155,,,,,337,215,12,93,7,356,204,2,93,14,693,419,14,186,21,37.2%,,,,,,,,,,0.449,0.447,0.896,3242,17.4%,14,22,5996,4113,59.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mats Sundin,TOT  ,1971,F,1346,564,785,1349,1093,73,,,,,373,160,31,96,15,467,293,25,126,14,840,453,56,222,29,33.6%,,,,,,,,,,0.419,0.583,1.002,4015,14.0%,182,134,10 218,8307,55.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mike Modano,TOT  ,1970,F,1499,561,813,1374,926,114,,,,,375,157,29,92,9,459,336,18,139,11,834,493,47,231,20,35.9%,,,,,,,,,,0.374,0.542,0.917,4273,13.1%,113,118,8749,8161,51.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Guy Lafleur,TOT  ,1951,F,1126,560,793,1353,399,446,,,,,403,154,3,98,0,525,266,2,116,0,928,420,5,214,0,31.0%,,,,,,,,,,0.497,0.704,1.202,3516,15.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Johnny Bucyk,TOT  ,1935,F,1540,556,813,1369,493,-7,,,,,393,159,4,92,0,529,284,0,95,0,922,443,4,187,0,32.4%,,,,,,,,,,0.361,0.528,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ron Francis,TOT  ,1963,F,1731,549,1249,1798,977,-18,,,,,349,188,12,79,4,691,539,19,196,14,1040,727,31,275,18,40.4%,,,,,,,,,,0.317,0.722,1.039,3756,14.6%,,,4773,3940,54.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Michel Goulet,TOT  ,1960,F,1089,548,605,1153,825,99,,,,,353,179,16,63,3,402,194,9,63,3,755,373,25,126,6,32.4%,,,,,,,,,,0.503,0.556,1.059,3140,17.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Maurice Richard,MTL,1921,F,978,544,422,966,1287,18,,,,,397,143,4,84,0,309,111,2,90,0,706,254,6,174,0,26.3%,,,,,,,,,,0.556,0.431,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Stan Mikita,CHI,1940,F,1396,541,926,1467,1264,329,,,,,379,150,12,84,0,608,312,6,133,0,987,462,18,217,0,31.5%,,,,,,,,,,0.388,0.663,1.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Keith Tkachuk,TOT  ,1972,F,1201,538,527,1065,2219,33,,,,,313,212,13,72,8,352,161,14,77,12,665,373,27,149,20,35.0%,,,,,,,,,,0.448,0.439,0.887,3530,15.2%,417,84,3892,3780,50.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Frank Mahovlich,TOT  ,1938,F,1181,533,570,1103,1054,266,,,,,400,122,11,82,0,383,182,5,86,0,783,304,16,168,0,27.6%,,,,,,,,,,0.451,0.483,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Marian Hossa,TOT  ,1979,F,1309,525,609,1134,628,245,18:40,13:57,3:18,1:24,348,143,34,85,15,366,231,12,106,12,714,374,46,191,27,33.0%,1.289,1.495,2.784,1.142,1.202,2.344,1.98,3.198,5.178,0.401,0.465,0.866,4229,12.4%,662,294,65,126,34.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bryan Trottier,TOT  ,1956,F,1279,524,901,1425,912,449,,,,,344,161,19,69,1,619,262,20,116,4,963,423,39,185,5,29.7%,,,,,,,,,,0.41,0.704,1.114,2839,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pat Verbeek,TOT  ,1964,F,1424,522,540,1062,2905,-46,,,,,332,186,4,67,3,350,184,6,66,7,682,370,10,133,10,34.8%,,,,,,,,,,0.367,0.379,0.746,3285,15.9%,,,6,12,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Dale Hawerchuk,TOT  ,1963,F,1188,518,891,1409,740,-98,,,,,324,182,12,49,4,494,386,11,101,9,818,568,23,150,13,40.3%,,,,,,,,,,0.436,0.75,1.186,3754,13.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Evgeni Malkin,PIT,1986,F,1224,517,845,1362,1212,35,19:32,15:09,4:10,0:12,329,184,4,86,14,515,329,1,143,31,844,513,5,229,45,37.7%,1.297,2.12,3.417,1.064,1.666,2.73,2.161,3.863,6.024,0.422,0.69,1.113,3834,13.5%,717,525,6038,7424,44.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pierre Turgeon,TOT  ,1969,F,1294,515,812,1327,452,139,,,,,315,190,10,86,11,505,297,10,126,11,820,487,20,212,22,36.7%,,,,,,,,,,0.398,0.628,1.026,3154,16.3%,19,19,3794,3683,50.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jeremy Roenick,TOT  ,1970,F,1363,513,703,1216,1463,153,,,,,301,184,28,92,5,436,247,20,119,8,737,431,48,211,13,35.4%,,,,,,,,,,0.376,0.516,0.892,3281,15.6%,298,77,4406,4409,49.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Gilbert Perreault,BUF,1950,F,1191,512,814,1326,500,41,,,,,370,134,8,81,0,512,298,4,106,2,882,432,12,187,2,32.6%,,,,,,,,,,0.43,0.683,1.113,3077,16.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Jean Beliveau,MTL,1931,F,1125,507,712,1219,1033,117,,,,,334,173,0,83,0,441,269,2,118,0,775,442,2,201,0,36.3%,,,,,,,,,,0.451,0.633,1.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Peter Bondra,TOT  ,1968,F,1081,503,389,892,761,74,,,,,322,149,32,78,6,254,131,4,56,3,576,280,36,134,9,31.4%,,,,,,,,,,0.465,0.36,0.825,3531,14.2%,52,11,9,28,24.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Joe Mullen,TOT  ,1957,F,1062,502,561,1063,241,167,,,,,341,150,11,73,5,368,189,4,75,3,709,339,15,148,8,31.9%,,,,,,,,,,0.473,0.528,1.001,2787,18.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Lanny McDonald,TOT  ,1953,F,1111,500,506,1006,899,39,,,,,350,139,11,54,0,325,177,4,61,0,675,316,15,115,0,31.4%,,,,,,,,,,0.45,0.455,0.905,3445,14.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,John Tavares,TOT  ,1990,F,1195,500,628,1128,521,-20,19:16,15:47,3:15,0:13,341,156,3,83,19,409,216,3,84,19,750,372,6,167,38,33.0%,1.302,1.635,2.938,1.084,1.3,2.384,2.406,3.332,5.738,0.418,0.526,0.944,3780,13.2%,898,511,11 410,9770,53.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Glenn Anderson,TOT  ,1960,F,1129,498,601,1099,1120,201,,,,,334,151,13,85,5,428,166,7,73,3,762,317,20,158,8,28.8%,,,,,,,,,,0.441,0.532,0.973,3109,16.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
